ID	Td	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
564810278	100	100100	0.606426	0.393574	0.86747	0.13253
564810278	100	100101	0.580769	0.419231	0.84375	0.15625
564810278	100	100102	0.603206	0.396794	0.858283	0.141717
564810278	100	100103	0.607724	0.392276	0.872047	0.127953
564810278	100	100104	0.602881	0.397119	0.873541	0.126459
564810278	100	100105	0.608108	0.391892	0.860996	0.139004
564810278	100	100106	0.622605	0.377395	0.870293	0.129707
564810278	100	100107	0.638776	0.361224	0.854902	0.145098
564810278	100	100108	0.602362	0.397638	0.892276	0.107724
564810278	100	100109	0.60687	0.39313	0.892857	0.107143
564810278	100	100110	0.561616	0.438384	0.916832	0.0831683
564810278	100	100111	0.56405	0.43595	0.916667	0.0833333
564810278	100	100112	0.541922	0.458078	0.927593	0.072407
564810278	100	100113	0.557344	0.442656	0.940358	0.0596421
564810278	100	100114	0.53178	0.46822	0.9375	0.0625
564810278	100	100115	0.486316	0.513684	0.942857	0.0571429
564810278	100	100116	0.518595	0.481405	0.955426	0.0445736
564810278	100	100117	0.521921	0.478079	0.952015	0.0479846
564810278	100	100118	0.546025	0.453975	0.940613	0.059387
564810278	100	100119	0.602911	0.397089	0.936416	0.0635838
564810278	100	100120	0.601215	0.398785	0.924901	0.0750988
564810278	100	100121	0.585513	0.414487	0.932406	0.0675944
564810278	100	100122	0.56238	0.43762	0.933194	0.0668058
564810278	100	100123	0.535642	0.464358	0.91945	0.0805501
564810278	100	100124	0.555556	0.444444	0.869307	0.130693
564810278	100	100125	0.559426	0.440574	0.904297	0.0957031
564810278	100	100126	0.569201	0.430799	0.909651	0.0903491
564810278	100	100127	0.554054	0.445946	0.914938	0.0850622
564810278	100	100128	0.534749	0.465251	0.910788	0.0892116
564810278	100	100129	0.512922	0.487078	0.911469	0.0885312
564810278	100	100130	0.537344	0.462656	0.913127	0.0868726
564810278	100	100131	0.511905	0.488095	0.907258	0.0927419
564810278	100	100132	0.531568	0.468432	0.897839	0.102161
564810278	100	100133	0.550201	0.449799	0.918327	0.0816733
564810278	100	100134	0.53144	0.46856	0.934911	0.0650888
564810278	100	100135	0.503043	0.496957	0.925049	0.0749507
564810278	100	100136	0.487552	0.512448	0.92278	0.0772201
564810278	100	100137	0.510504	0.489496	0.925573	0.0744275
564810278	100	100138	0.48497	0.51503	0.94012	0.0598802
564810278	100	100139	0.463312	0.536688	0.944551	0.0554493
564810278	100	100140	0.448898	0.551102	0.93014	0.0698603
564810278	100	100141	0.419483	0.580517	0.929577	0.0704225
564810278	100	100142	0.419624	0.580376	0.942418	0.0575816
564810278	100	100143	0.406439	0.593561	0.95825	0.0417495
564810278	100	100144	0.412429	0.587571	0.946695	0.0533049
564810278	100	100145	0.417178	0.582822	0.966732	0.0332681
564810278	100	100146	0.370093	0.629907	0.956989	0.0430108
564810278	100	100147	0.34004	0.65996	0.954274	0.0457256
564810278	100	100148	0.318458	0.681542	0.966469	0.0335306
564810278	100	100149	0.320866	0.679134	0.963415	0.0365854
564810278	100	100150	0.319502	0.680498	0.967181	0.0328185
564810278	100	100151	0.318898	0.681102	0.957317	0.0426829
564810278	100	100152	0.313576	0.686424	0.9413	0.0587002
564810278	100	100153	0.298211	0.701789	0.94165	0.0583501
564810278	100	100154	0.280632	0.719368	0.933198	0.0668016
564810278	100	100155	0.273786	0.726214	0.942268	0.057732
564810278	100	100156	0.242489	0.757511	0.923221	0.076779
564810278	100	100157	0.203593	0.796407	0.90982	0.0901804
564810278	100	100158	0.202429	0.797571	0.924901	0.0750988
564810278	100	100159	0.219008	0.780992	0.930233	0.0697674
564810278	100	100160	0.178295	0.821705	0.921488	0.0785124
564810278	100	100161	0.171375	0.828625	0.921109	0.0788913
564810278	100	100162	0.163968	0.836032	0.920949	0.0790514
564810278	100	100163	0.14346	0.85654	0.942966	0.0570342
564810278	100	100164	0.138614	0.861386	0.939394	0.0606061
564810278	100	100165	0.129159	0.870841	0.92638	0.0736196
564810278	100	100166	0.147475	0.852525	0.918812	0.0811881
564810278	100	100167	0.152778	0.847222	0.933468	0.0665323
564810278	100	100168	0.167006	0.832994	0.954813	0.0451866
564810278	100	100169	0.169291	0.830709	0.957317	0.0426829
564810278	100	100170	0.177645	0.822355	0.957916	0.0420842
564810278	100	100171	0.205703	0.794297	0.941061	0.0589391
564810278	100	100172	0.187867	0.812133	0.93865	0.0613497
564810278	100	100173	0.205607	0.794393	0.952688	0.0473118
564810278	100	100174	0.174853	0.825147	0.95112	0.0488798
564810278	100	100175	0.161616	0.838384	0.950495	0.049505
564810278	100	100176	0.153543	0.846457	0.947154	0.0528455
564810278	100	100177	0.149105	0.850895	0.963783	0.0362173
564810278	100	100178	0.133333	0.866667	0.964356	0.0356436
564810278	100	100179	0.137787	0.862213	0.96929	0.0307102
564810278	100	100180	0.137931	0.862069	0.956607	0.0433925
564810278	100	100181	0.148515	0.851485	0.967677	0.0323232
564810278	100	100182	0.133981	0.866019	0.964948	0.0350515
564810278	100	100183	0.136802	0.863198	0.960499	0.039501
564810278	100	100184	0.14	0.86	0.966	0.034
564810278	100	100185	0.129594	0.870406	0.968944	0.0310559
564810278	100	100186	0.125498	0.874502	0.959839	0.0401606
564810278	100	100187	0.151163	0.848837	0.960744	0.0392562
564810278	100	100188	0.152344	0.847656	0.959016	0.0409836
564810278	100	100189	0.158562	0.841438	0.946869	0.0531309
564810278	100	100190	0.154309	0.845691	0.942116	0.0578842
564810278	100	100191	0.172345	0.827655	0.948104	0.0518962
564810278	100	100192	0.177734	0.822266	0.940574	0.0594262
564810278	100	100193	0.193814	0.806186	0.947573	0.0524272
564810278	100	100194	0.191898	0.808102	0.945386	0.0546139
564810278	100	100195	0.154309	0.845691	0.954092	0.0459082
564810278	100	100196	0.147705	0.852295	0.951904	0.0480962
564810278	100	100197	0.151394	0.848606	0.941767	0.0582329
564810278	100	100198	0.15087	0.84913	0.917184	0.0828157
564810278	100	100199	0.133843	0.866157	0.899371	0.100629
564810278	100	100200	0.12	0.88	0.91	0.09
564810278	100	100201	0.117534	0.882466	0.906445	0.0935551
