Td	run	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
100	3326310969	100100	0.5	0.5	0.5	0.5
100	3326310969	100101	0.500805	0.499195	0.505569	0.494431
100	3326310969	100102	0.512185	0.487815	0.502603	0.497397
100	3326310969	100103	0.507864	0.492136	0.506192	0.493808
100	3326310969	100104	0.488468	0.511532	0.513997	0.486003
100	3326310969	100105	0.507956	0.492044	0.505296	0.494704
100	3326310969	100106	0.509069	0.490931	0.495832	0.504168
100	3326310969	100107	0.522059	0.477941	0.48511	0.51489
100	3326310969	100108	0.503661	0.496339	0.465281	0.534719
100	3326310969	100109	0.506931	0.493069	0.461414	0.538586
100	3326310969	100110	0.508032	0.491968	0.459761	0.540239
100	3326310969	100111	0.495968	0.504032	0.460317	0.539683
100	3326310969	100112	0.492083	0.507917	0.459598	0.540402
100	3326310969	100113	0.488091	0.511909	0.455515	0.544485
100	3326310969	100114	0.507612	0.492388	0.458866	0.541134
100	3326310969	100115	0.497806	0.502194	0.456879	0.543121
100	3326310969	100116	0.507643	0.492357	0.471758	0.528242
100	3326310969	100117	0.515857	0.484143	0.487047	0.512953
100	3326310969	100118	0.514899	0.485101	0.471607	0.528393
100	3326310969	100119	0.501618	0.498382	0.467168	0.532832
100	3326310969	100120	0.498988	0.501012	0.479636	0.520364
100	3326310969	100121	0.496972	0.503028	0.492271	0.507729
100	3326310969	100122	0.495702	0.504298	0.470082	0.529918
100	3326310969	100123	0.486465	0.513535	0.463762	0.536238
100	3326310969	100124	0.494874	0.505126	0.453328	0.546672
100	3326310969	100125	0.469404	0.530596	0.464937	0.535063
100	3326310969	100126	0.465275	0.534725	0.468713	0.531287
100	3326310969	100127	0.472619	0.527381	0.465323	0.534677
100	3326310969	100128	0.474556	0.525444	0.465135	0.534865
100	3326310969	100129	0.489345	0.510655	0.468775	0.531225
100	3326310969	100130	0.489788	0.510212	0.474231	0.525769
100	3326310969	100131	0.489612	0.510388	0.469988	0.530012
100	3326310969	100132	0.496029	0.503971	0.476632	0.523368
100	3326310969	100133	0.47492	0.52508	0.491158	0.508842
100	3326310969	100134	0.484437	0.515563	0.489575	0.510425
100	3326310969	100135	0.481496	0.518504	0.472554	0.527446
100	3326310969	100136	0.488429	0.511571	0.48246	0.51754
100	3326310969	100137	0.499602	0.500398	0.4751	0.5249
100	3326310969	100138	0.492963	0.507037	0.476249	0.523751
100	3326310969	100139	0.506044	0.493956	0.485703	0.514297
100	3326310969	100140	0.506861	0.493139	0.468208	0.531792
100	3326310969	100141	0.525101	0.474899	0.494071	0.505929
100	3326310969	100142	0.520885	0.479115	0.475762	0.524238
100	3326310969	100143	0.510091	0.489909	0.454509	0.545491
100	3326310969	100144	0.492531	0.507469	0.460098	0.539902
100	3326310969	100145	0.495868	0.504132	0.455063	0.544937
100	3326310969	100146	0.495272	0.504728	0.437855	0.562145
100	3326310969	100147	0.521302	0.478698	0.44586	0.55414
100	3326310969	100148	0.51396	0.48604	0.441595	0.558405
100	3326310969	100149	0.521193	0.478807	0.438418	0.561582
100	3326310969	100150	0.519517	0.480483	0.441352	0.558648
100	3326310969	100151	0.509366	0.490634	0.449217	0.550783
100	3326310969	100152	0.504019	0.495981	0.436306	0.563694
100	3326310969	100153	0.51503	0.48497	0.433533	0.566467
100	3326310969	100154	0.512984	0.487016	0.432519	0.567481
100	3326310969	100155	0.496406	0.503594	0.421474	0.578526
100	3326310969	100156	0.50161	0.49839	0.4062	0.5938
100	3326310969	100157	0.502607	0.497393	0.404069	0.595931
100	3326310969	100158	0.508806	0.491194	0.405726	0.594274
100	3326310969	100159	0.504773	0.495227	0.406677	0.593323
100	3326310969	100160	0.513057	0.486943	0.38192	0.61808
100	3326310969	100161	0.527273	0.472727	0.384554	0.615446
100	3326310969	100162	0.535599	0.464401	0.367089	0.632911
100	3326310969	100163	0.556415	0.443585	0.359528	0.640472
100	3326310969	100164	0.567194	0.432806	0.368546	0.631454
100	3326310969	100165	0.567793	0.432207	0.382294	0.617706
100	3326310969	100166	0.572925	0.427075	0.372518	0.627482
100	3326310969	100167	0.580874	0.419126	0.363969	0.636031
100	3326310969	100168	0.597861	0.402139	0.363489	0.636511
100	3326310969	100169	0.596978	0.403022	0.382987	0.617013
100	3326310969	100170	0.587881	0.412119	0.399123	0.600877
100	3326310969	100171	0.585542	0.414458	0.384064	0.615936
100	3326310969	100172	0.586277	0.413723	0.405991	0.594009
100	3326310969	100173	0.594605	0.405395	0.393084	0.606916
100	3326310969	100174	0.610265	0.389735	0.378691	0.621309
100	3326310969	100175	0.606817	0.393183	0.376262	0.623738
100	3326310969	100176	0.612006	0.387994	0.376092	0.623908
100	3326310969	100177	0.615658	0.384342	0.389316	0.610684
100	3326310969	100178	0.628883	0.371117	0.376835	0.623165
100	3326310969	100179	0.644277	0.355723	0.359501	0.640499
100	3326310969	100180	0.652313	0.347687	0.35313	0.64687
100	3326310969	100181	0.630584	0.369416	0.352684	0.647316
100	3326310969	100182	0.638197	0.361803	0.35775	0.64225
100	3326310969	100183	0.632462	0.367538	0.348379	0.651621
100	3326310969	100184	0.618421	0.381579	0.350467	0.649533
