Td	run	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
1000	3963028118	101000	0.800641	0.199359	0.5	0.5
1000	3963028118	101001	0.800081	0.199919	0.520206	0.479794
1000	3963028118	101002	0.80148	0.19852	0.52201	0.47799
1000	3963028118	101003	0.7965	0.2035	0.527723	0.472277
1000	3963028118	101004	0.786788	0.213212	0.528317	0.471683
1000	3963028118	101005	0.785972	0.214028	0.514172	0.485828
1000	3963028118	101006	0.794861	0.205139	0.518446	0.481554
1000	3963028118	101007	0.782162	0.217838	0.509934	0.490066
1000	3963028118	101008	0.783501	0.216499	0.512525	0.487475
1000	3963028118	101009	0.797794	0.202206	0.517633	0.482367
1000	3963028118	101010	0.793117	0.206883	0.516181	0.483819
1000	3963028118	101011	0.786196	0.213804	0.5119	0.4881
1000	3963028118	101012	0.792	0.208	0.5132	0.4868
1000	3963028118	101013	0.794526	0.205474	0.507059	0.492941
1000	3963028118	101014	0.802964	0.197036	0.505793	0.494207
1000	3963028118	101015	0.797463	0.202537	0.509084	0.490916
1000	3963028118	101016	0.785266	0.214734	0.512255	0.487745
1000	3963028118	101017	0.789116	0.210884	0.510996	0.489004
1000	3963028118	101018	0.79116	0.20884	0.503946	0.496054
1000	3963028118	101019	0.788259	0.211741	0.528458	0.471542
1000	3963028118	101020	0.787066	0.212934	0.536526	0.463474
1000	3963028118	101021	0.783522	0.216478	0.538431	0.461569
1000	3963028118	101022	0.766126	0.233874	0.541448	0.458552
1000	3963028118	101023	0.76117	0.23883	0.526912	0.473088
1000	3963028118	101024	0.762072	0.237928	0.530016	0.469984
1000	3963028118	101025	0.767349	0.232651	0.54647	0.45353
1000	3963028118	101026	0.771874	0.228126	0.542251	0.457749
1000	3963028118	101027	0.784252	0.215748	0.549187	0.450813
1000	3963028118	101028	0.789748	0.210252	0.536956	0.463044
1000	3963028118	101029	0.800241	0.199759	0.538891	0.461109
1000	3963028118	101030	0.794297	0.205703	0.537917	0.462083
1000	3963028118	101031	0.804819	0.195181	0.539442	0.460558
1000	3963028118	101032	0.801129	0.198871	0.550179	0.449821
1000	3963028118	101033	0.791484	0.208516	0.539204	0.460796
1000	3963028118	101034	0.792717	0.207283	0.517393	0.482607
1000	3963028118	101035	0.792895	0.207105	0.521601	0.478399
1000	3963028118	101036	0.781891	0.218109	0.529225	0.470775
1000	3963028118	101037	0.769629	0.230371	0.531513	0.468487
1000	3963028118	101038	0.776489	0.223511	0.527411	0.472589
1000	3963028118	101039	0.779757	0.220243	0.527273	0.472727
1000	3963028118	101040	0.787696	0.212304	0.532033	0.467967
1000	3963028118	101041	0.780705	0.219295	0.547967	0.452033
1000	3963028118	101042	0.785084	0.214916	0.541101	0.458899
1000	3963028118	101043	0.7833	0.2167	0.532797	0.467203
1000	3963028118	101044	0.77368	0.22632	0.525165	0.474835
1000	3963028118	101045	0.768163	0.231837	0.527451	0.472549
1000	3963028118	101046	0.774714	0.225286	0.535555	0.464445
1000	3963028118	101047	0.759133	0.240867	0.526903	0.473097
1000	3963028118	101048	0.765593	0.234407	0.524146	0.475854
1000	3963028118	101049	0.768313	0.231687	0.543969	0.456031
1000	3963028118	101050	0.768566	0.231434	0.550305	0.449695
1000	3963028118	101051	0.75165	0.24835	0.550078	0.449922
1000	3963028118	101052	0.743878	0.256122	0.56676	0.43324
1000	3963028118	101053	0.732563	0.267437	0.5556	0.4444
1000	3963028118	101054	0.738695	0.261305	0.546182	0.453818
1000	3963028118	101055	0.738591	0.261409	0.553557	0.446443
1000	3963028118	101056	0.746926	0.253074	0.55829	0.44171
1000	3963028118	101057	0.734047	0.265953	0.551536	0.448464
1000	3963028118	101058	0.735946	0.264054	0.526273	0.473727
1000	3963028118	101059	0.724346	0.275654	0.526441	0.473559
1000	3963028118	101060	0.727089	0.272911	0.514071	0.485929
1000	3963028118	101061	0.721166	0.278834	0.509292	0.490708
1000	3963028118	101062	0.708201	0.291799	0.51246	0.48754
1000	3963028118	101063	0.708715	0.291285	0.51548	0.48452
1000	3963028118	101064	0.700855	0.299145	0.516319	0.483681
1000	3963028118	101065	0.699367	0.300633	0.527508	0.472492
1000	3963028118	101066	0.711774	0.288226	0.520752	0.479248
1000	3963028118	101067	0.708988	0.291012	0.535133	0.464867
1000	3963028118	101068	0.722179	0.277821	0.535655	0.464345
1000	3963028118	101069	0.71658	0.28342	0.52491	0.47509
1000	3963028118	101070	0.717269	0.282731	0.533466	0.466534
1000	3963028118	101071	0.720902	0.279098	0.529201	0.470799
1000	3963028118	101072	0.726157	0.273843	0.53983	0.46017
1000	3963028118	101073	0.728549	0.271451	0.545491	0.454509
1000	3963028118	101074	0.735938	0.264062	0.566393	0.433607
1000	3963028118	101075	0.72698	0.27302	0.576204	0.423796
1000	3963028118	101076	0.74191	0.25809	0.587186	0.412814
1000	3963028118	101077	0.738419	0.261581	0.578926	0.421074
1000	3963028118	101078	0.764706	0.235294	0.586974	0.413026
1000	3963028118	101079	0.765694	0.234306	0.585834	0.414166
1000	3963028118	101080	0.76583	0.23417	0.567698	0.432302
1000	3963028118	101081	0.762411	0.237589	0.562957	0.437043
1000	3963028118	101082	0.764311	0.235689	0.557357	0.442643
1000	3963028118	101083	0.756	0.244	0.5592	0.4408
1000	3963028118	101084	0.753479	0.246521	0.542052	0.457948
1000	3963028118	101085	0.755448	0.244552	0.543616	0.456384
1000	3963028118	101086	0.756994	0.243006	0.531625	0.468375
1000	3963028118	101087	0.765027	0.234973	0.518458	0.481542
1000	3963028118	101088	0.772443	0.227557	0.525841	0.474159
1000	3963028118	101089	0.781569	0.218431	0.528571	0.471429
1000	3963028118	101090	0.781898	0.218102	0.512841	0.487159
1000	3963028118	101091	0.785141	0.214859	0.512749	0.487251
1000	3963028118	101092	0.778085	0.221915	0.502427	0.497573
1000	3963028118	101093	0.762551	0.237449	0.498444	0.501556
1000	3963028118	101094	0.772497	0.227503	0.502672	0.497328
1000	3963028118	101095	0.77697	0.22303	0.498614	0.501386
1000	3963028118	101096	0.779371	0.220629	0.496585	0.503415
1000	3963028118	101097	0.79362	0.20638	0.502235	0.497765
1000	3963028118	101098	0.806373	0.193627	0.502351	0.497649
1000	3963028118	101099	0.809369	0.190631	0.492731	0.507269
1000	3963028118	101100	0.816074	0.183926	0.47539	0.52461
1000	3963028118	101101	0.811181	0.188819	0.471744	0.528256
1000	3963028118	101102	0.81945	0.18055	0.467684	0.532316
1000	3963028118	101103	0.81764	0.18236	0.471204	0.528796
1000	3963028118	101104	0.801212	0.198788	0.43802	0.56198
1000	3963028118	101105	0.801359	0.198641	0.447158	0.552842
1000	3963028118	101106	0.798737	0.201263	0.443228	0.556772
1000	3963028118	101107	0.798795	0.201205	0.450199	0.549801
1000	3963028118	101108	0.815244	0.184756	0.442382	0.557618
1000	3963028118	101109	0.807677	0.192323	0.442378	0.557622
1000	3963028118	101110	0.803371	0.196629	0.469697	0.530303
1000	3963028118	101111	0.811276	0.188724	0.466885	0.533115
1000	3963028118	101112	0.797881	0.202119	0.463472	0.536528
1000	3963028118	101113	0.796738	0.203262	0.453339	0.546661
1000	3963028118	101114	0.811571	0.188429	0.45679	0.54321
1000	3963028118	101115	0.815204	0.184796	0.453106	0.546894
1000	3963028118	101116	0.814474	0.185526	0.456583	0.543417
1000	3963028118	101117	0.824519	0.175481	0.46246	0.53754
1000	3963028118	101118	0.815694	0.184306	0.485089	0.514911
1000	3963028118	101119	0.844534	0.155466	0.50751	0.49249
1000	3963028118	101120	0.838645	0.161355	0.525188	0.474812
1000	3963028118	101121	0.837849	0.162151	0.519193	0.480807
1000	3963028118	101122	0.834994	0.165006	0.511441	0.488559
1000	3963028118	101123	0.841541	0.158459	0.518533	0.481467
1000	3963028118	101124	0.838907	0.161093	0.518838	0.481162
1000	3963028118	101125	0.830346	0.169654	0.524307	0.475693
1000	3963028118	101126	0.842441	0.157559	0.527878	0.472122
1000	3963028118	101127	0.849597	0.150403	0.517857	0.482143
1000	3963028118	101128	0.853	0.147	0.520858	0.479142
1000	3963028118	101129	0.853171	0.146829	0.491415	0.508585
1000	3963028118	101130	0.850384	0.149616	0.500198	0.499802
1000	3963028118	101131	0.845205	0.154795	0.497789	0.502211
1000	3963028118	101132	0.853344	0.146656	0.488086	0.511914
1000	3963028118	101133	0.854032	0.145968	0.475	0.525
1000	3963028118	101134	0.861346	0.138654	0.483525	0.516475
1000	3963028118	101135	0.85127	0.14873	0.494641	0.505359
1000	3963028118	101136	0.848833	0.151167	0.496563	0.503437
1000	3963028118	101137	0.841855	0.158145	0.485668	0.514332
1000	3963028118	101138	0.840609	0.159391	0.461446	0.538554
1000	3963028118	101139	0.830947	0.169053	0.471842	0.528158
1000	3963028118	101140	0.830144	0.169856	0.457063	0.542937
1000	3963028118	101141	0.833605	0.166395	0.461054	0.538946
1000	3963028118	101142	0.827136	0.172864	0.456311	0.543689
1000	3963028118	101143	0.832212	0.167788	0.456531	0.543469
1000	3963028118	101144	0.820797	0.179203	0.439813	0.560187
1000	3963028118	101145	0.815589	0.184411	0.424532	0.575468
1000	3963028118	101146	0.824394	0.175606	0.436569	0.563431
1000	3963028118	101147	0.815294	0.184706	0.437959	0.562041
1000	3963028118	101148	0.815435	0.184565	0.430027	0.569973
1000	3963028118	101149	0.824681	0.175319	0.423878	0.576122
1000	3963028118	101150	0.830975	0.169025	0.419788	0.580212
1000	3963028118	101151	0.826259	0.173741	0.421138	0.578862
1000	3963028118	101152	0.818072	0.181928	0.424701	0.575299
1000	3963028118	101153	0.80464	0.19536	0.445144	0.554856
1000	3963028118	101154	0.799363	0.200637	0.455386	0.544614
1000	3963028118	101155	0.802783	0.197217	0.456338	0.543662
1000	3963028118	101156	0.788854	0.211146	0.444943	0.555057
1000	3963028118	101157	0.782696	0.217304	0.445726	0.554274
1000	3963028118	101158	0.775924	0.224076	0.440193	0.559807
1000	3963028118	101159	0.771183	0.228817	0.439524	0.560476
1000	3963028118	101160	0.768919	0.231081	0.431396	0.568604
1000	3963028118	101161	0.776457	0.223543	0.438434	0.561566
1000	3963028118	101162	0.763393	0.236607	0.439669	0.560331
1000	3963028118	101163	0.77505	0.22495	0.454871	0.545129
1000	3963028118	101164	0.782816	0.217184	0.449316	0.550684
1000	3963028118	101165	0.777057	0.222943	0.4394	0.5606
1000	3963028118	101166	0.765354	0.234646	0.449593	0.550407
1000	3963028118	101167	0.768341	0.231659	0.441814	0.558186
1000	3963028118	101168	0.77312	0.22688	0.443319	0.556681
1000	3963028118	101169	0.773018	0.226982	0.435651	0.564349
1000	3963028118	101170	0.760748	0.239252	0.448553	0.551447
1000	3963028118	101171	0.750201	0.249799	0.438046	0.561954
1000	3963028118	101172	0.748813	0.251187	0.432443	0.567557
1000	3963028118	101173	0.754962	0.245038	0.429475	0.570525
1000	3963028118	101174	0.764361	0.235639	0.412126	0.587874
1000	3963028118	101175	0.767388	0.232612	0.409204	0.590796
1000	3963028118	101176	0.775209	0.224791	0.41951	0.58049
1000	3963028118	101177	0.771148	0.228852	0.423815	0.576185
1000	3963028118	101178	0.767156	0.232844	0.431626	0.568374
1000	3963028118	101179	0.786943	0.213057	0.438984	0.561016
1000	3963028118	101180	0.777424	0.222576	0.441626	0.558374
1000	3963028118	101181	0.78856	0.21144	0.440162	0.559838
1000	3963028118	101182	0.784064	0.215936	0.448594	0.551406
1000	3963028118	101183	0.773033	0.226967	0.444759	0.555241
1000	3963028118	101184	0.766203	0.233797	0.461167	0.538833
1000	3963028118	101185	0.761091	0.238909	0.464019	0.535981
1000	3963028118	101186	0.764916	0.235084	0.463797	0.536203
1000	3963028118	101187	0.765068	0.234932	0.464272	0.535728
1000	3963028118	101188	0.768651	0.231349	0.475806	0.524194
1000	3963028118	101189	0.764939	0.235061	0.485645	0.514355
1000	3963028118	101190	0.745579	0.254421	0.504379	0.495621
1000	3963028118	101191	0.748297	0.251703	0.481836	0.518164
1000	3963028118	101192	0.767313	0.232687	0.47311	0.52689
1000	3963028118	101193	0.769936	0.230064	0.473515	0.526485
1000	3963028118	101194	0.772745	0.227255	0.46758	0.53242
1000	3963028118	101195	0.769231	0.230769	0.483909	0.516091
1000	3963028118	101196	0.767685	0.232315	0.477309	0.522691
1000	3963028118	101197	0.765084	0.234916	0.478123	0.521877
1000	3963028118	101198	0.757039	0.242961	0.477327	0.522673
1000	3963028118	101199	0.750099	0.249901	0.489293	0.510707
1000	3963028118	101200	0.746209	0.253791	0.486768	0.513232
