POP	Ind	SourceP	cluster_name	level	cluster
Pop1	Ind0	Pop1	M_L1_C1	L1	C1
Pop1	Ind0	Pop1	M_L2_C1	L2	C1
Pop1	Ind0	Pop1	M_L3_C1	L3	C1
Pop1	Ind1	Pop1	M_L1_C2	L1	C2
Pop1	Ind1	Pop1	M_L2_C3	L2	C3
Pop1	Ind1	Pop1	M_L3_C2	L3	C2
Pop1	Ind2	Pop1	M_L1_C3	L1	C3
Pop1	Ind2	Pop1	M_L2_C6	L2	C6
Pop1	Ind2	Pop1	M_L3_C3	L3	C3
Pop1	Ind3	Pop1	M_L1_C1	L1	C1
Pop1	Ind3	Pop1	M_L2_C1	L2	C1
Pop1	Ind3	Pop1	M_L3_C1	L3	C1
Pop1	Ind4	Pop1	M_L1_C1	L1	C1
Pop1	Ind4	Pop1	M_L2_C1	L2	C1
Pop1	Ind4	Pop1	M_L3_C1	L3	C1
Pop1	Ind5	Pop1	M_L1_C2	L1	C2
Pop1	Ind5	Pop1	M_L2_C3	L2	C3
Pop1	Ind5	Pop1	M_L3_C2	L3	C2
Pop1	Ind6	Pop1	M_L1_C3	L1	C3
Pop1	Ind6	Pop1	M_L2_C6	L2	C6
Pop1	Ind6	Pop1	M_L3_C3	L3	C3
Pop1	Ind7	Pop1	M_L1_C2	L1	C2
Pop1	Ind7	Pop1	M_L2_C3	L2	C3
Pop1	Ind7	Pop1	M_L3_C2	L3	C2
Pop1	Ind8	Pop1	M_L1_C1	L1	C1
Pop1	Ind8	Pop1	M_L2_C2	L2	C2
Pop1	Ind8	Pop1	M_L3_C4	L3	C4
Pop1	Ind9	Pop1	M_L1_C2	L1	C2
Pop1	Ind9	Pop1	M_L2_C3	L2	C3
Pop1	Ind9	Pop1	M_L3_C2	L3	C2
Pop2	Ind10	Pop2	M_L1_C3	L1	C3
Pop2	Ind10	Pop2	M_L2_C7	L2	C7
Pop2	Ind10	Pop2	M_L3_C5	L3	C5
Pop2	Ind11	Pop2	M_L1_C3	L1	C3
Pop2	Ind11	Pop2	M_L2_C8	L2	C8
Pop2	Ind11	Pop2	M_L3_C6	L3	C6
Pop2	Ind12	Pop2	M_L1_C4	L1	C4
Pop2	Ind12	Pop2	M_L2_C9	L2	C9
Pop2	Ind12	Pop2	M_L3_C7	L3	C7
Pop2	Ind13	Pop2	M_L1_C4	L1	C4
Pop2	Ind13	Pop2	M_L2_C9	L2	C9
Pop2	Ind13	Pop2	M_L3_C7	L3	C7
Pop2	Ind14	Pop2	M_L1_C2	L1	C2
Pop2	Ind14	Pop2	M_L2_C4	L2	C4
Pop2	Ind14	Pop2	M_L3_C8	L3	C8
Pop2	Ind15	Pop2	M_L1_C2	L1	C2
Pop2	Ind15	Pop2	M_L2_C4	L2	C4
Pop2	Ind15	Pop2	M_L3_C8	L3	C8
Pop2	Ind16	Pop2	M_L1_C2	L1	C2
Pop2	Ind16	Pop2	M_L2_C4	L2	C4
Pop2	Ind16	Pop2	M_L3_C8	L3	C8
Pop2	Ind17	Pop2	M_L1_C3	L1	C3
Pop2	Ind17	Pop2	M_L2_C7	L2	C7
Pop2	Ind17	Pop2	M_L3_C5	L3	C5
Pop2	Ind18	Pop2	M_L1_C4	L1	C4
Pop2	Ind18	Pop2	M_L2_C9	L2	C9
Pop2	Ind18	Pop2	M_L3_C7	L3	C7
Pop2	Ind19	Pop2	M_L1_C3	L1	C3
Pop2	Ind19	Pop2	M_L2_C7	L2	C7
Pop2	Ind19	Pop2	M_L3_C5	L3	C5
Pop3	Ind20	Pop2	M_L1_C2	L1	C2
Pop3	Ind20	Pop2	M_L2_C5	L2	C5
Pop3	Ind20	Pop2	M_L3_C9	L3	C9
Pop3	Ind21	Pop1	M_L1_C2	L1	C2
Pop3	Ind21	Pop1	M_L2_C3	L2	C3
Pop3	Ind21	Pop1	M_L3_C2	L3	C2
Pop3	Ind22	Pop1	M_L1_C2	L1	C2
Pop3	Ind22	Pop1	M_L2_C3	L2	C3
Pop3	Ind22	Pop1	M_L3_C2	L3	C2
Pop3	Ind23	Pop1	M_L1_C2	L1	C2
Pop3	Ind23	Pop1	M_L2_C3	L2	C3
Pop3	Ind23	Pop1	M_L3_C2	L3	C2
Pop3	Ind24	Pop1	M_L1_C3	L1	C3
Pop3	Ind24	Pop1	M_L2_C8	L2	C8
Pop3	Ind24	Pop1	M_L3_C6	L3	C6
Pop3	Ind25	Pop1	M_L1_C1	L1	C1
Pop3	Ind25	Pop1	M_L2_C1	L2	C1
Pop3	Ind25	Pop1	M_L3_C1	L3	C1
Pop3	Ind26	Pop2	M_L1_C4	L1	C4
Pop3	Ind26	Pop2	M_L2_C10	L2	C10
Pop3	Ind26	Pop2	M_L3_C10	L3	C10
Pop3	Ind27	Pop1	M_L1_C1	L1	C1
Pop3	Ind27	Pop1	M_L2_C1	L2	C1
Pop3	Ind27	Pop1	M_L3_C1	L3	C1
Pop3	Ind28	Pop2	M_L1_C4	L1	C4
Pop3	Ind28	Pop2	M_L2_C10	L2	C10
Pop3	Ind28	Pop2	M_L3_C10	L3	C10
Pop3	Ind29	Pop1	M_L1_C3	L1	C3
Pop3	Ind29	Pop1	M_L2_C6	L2	C6
Pop3	Ind29	Pop1	M_L3_C3	L3	C3
