Tdiff	run	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
100	3473623206	100100	0.5	0.5	0.5	0.5
100	3473623206	100101	0.485944	0.514056	0.478088	0.521912
100	3473623206	100102	0.492537	0.507463	0.482759	0.517241
100	3473623206	100103	0.454874	0.545126	0.493274	0.506726
100	3473623206	100104	0.496094	0.503906	0.479508	0.520492
100	3473623206	100105	0.473684	0.526316	0.490119	0.509881
100	3473623206	100106	0.425703	0.574297	0.505976	0.494024
100	3473623206	100107	0.442231	0.557769	0.51004	0.48996
100	3473623206	100108	0.445833	0.554167	0.553846	0.446154
100	3473623206	100109	0.406504	0.593496	0.523622	0.476378
100	3473623206	100110	0.375	0.625	0.539683	0.460317
100	3473623206	100111	0.391129	0.608871	0.555556	0.444444
100	3473623206	100112	0.410359	0.589641	0.546185	0.453815
100	3473623206	100113	0.415385	0.584615	0.5125	0.4875
100	3473623206	100114	0.413127	0.586873	0.502075	0.497925
100	3473623206	100115	0.371429	0.628571	0.501961	0.498039
100	3473623206	100116	0.379747	0.620253	0.524715	0.475285
100	3473623206	100117	0.36255	0.63745	0.534137	0.465863
100	3473623206	100118	0.409836	0.590164	0.539062	0.460938
100	3473623206	100119	0.427419	0.572581	0.559524	0.440476
100	3473623206	100120	0.405594	0.594406	0.588785	0.411215
100	3473623206	100121	0.4	0.6	0.542857	0.457143
100	3473623206	100122	0.363636	0.636364	0.546559	0.453441
100	3473623206	100123	0.288618	0.711382	0.551181	0.448819
100	3473623206	100124	0.303279	0.696721	0.519531	0.480469
100	3473623206	100125	0.334728	0.665272	0.517241	0.482759
100	3473623206	100126	0.302239	0.697761	0.573276	0.426724
100	3473623206	100127	0.275	0.725	0.546154	0.453846
100	3473623206	100128	0.246809	0.753191	0.520755	0.479245
100	3473623206	100129	0.252964	0.747036	0.510121	0.489879
100	3473623206	100130	0.22449	0.77551	0.545098	0.454902
100	3473623206	100131	0.2	0.8	0.518367	0.481633
100	3473623206	100132	0.228571	0.771429	0.466667	0.533333
100	3473623206	100133	0.296943	0.703057	0.464945	0.535055
100	3473623206	100134	0.268482	0.731518	0.473251	0.526749
100	3473623206	100135	0.318898	0.681102	0.479675	0.520325
100	3473623206	100136	0.338583	0.661417	0.430894	0.569106
100	3473623206	100137	0.360465	0.639535	0.454545	0.545455
100	3473623206	100138	0.393258	0.606742	0.446352	0.553648
100	3473623206	100139	0.428571	0.571429	0.489627	0.510373
100	3473623206	100140	0.363265	0.636735	0.556863	0.443137
100	3473623206	100141	0.37037	0.62963	0.478599	0.521401
100	3473623206	100142	0.386973	0.613027	0.51046	0.48954
100	3473623206	100143	0.351254	0.648746	0.502262	0.497738
100	3473623206	100144	0.365019	0.634981	0.413502	0.586498
100	3473623206	100145	0.379699	0.620301	0.478632	0.521368
100	3473623206	100146	0.344398	0.655602	0.451737	0.548263
100	3473623206	100147	0.325203	0.674797	0.448819	0.551181
100	3473623206	100148	0.371094	0.628906	0.459016	0.540984
100	3473623206	100149	0.392157	0.607843	0.461224	0.538776
100	3473623206	100150	0.355649	0.644351	0.409962	0.590038
100	3473623206	100151	0.419087	0.580913	0.370656	0.629344
100	3473623206	100152	0.410256	0.589744	0.387218	0.612782
100	3473623206	100153	0.431452	0.568548	0.365079	0.634921
100	3473623206	100154	0.464135	0.535865	0.38403	0.61597
100	3473623206	100155	0.502041	0.497959	0.435294	0.564706
100	3473623206	100156	0.408907	0.591093	0.407115	0.592885
100	3473623206	100157	0.393443	0.606557	0.386719	0.613281
100	3473623206	100158	0.359375	0.640625	0.377049	0.622951
100	3473623206	100159	0.352227	0.647773	0.395257	0.604743
100	3473623206	100160	0.320346	0.679654	0.405204	0.594796
100	3473623206	100161	0.25	0.75	0.449275	0.550725
100	3473623206	100162	0.245353	0.754647	0.445887	0.554113
100	3473623206	100163	0.283401	0.716599	0.438735	0.561265
