Tdiff	run	gen	p1m_in_p3	p2m_in_p3	p1f_in_p3	p2f_in_p3
100	641774310	100100	0.5	0.5	0.5	0.5
100	641774310	100101	0.478632	0.521368	0.451128	0.548872
100	641774310	100102	0.457143	0.542857	0.490196	0.509804
100	641774310	100103	0.444898	0.555102	0.478431	0.521569
100	641774310	100104	0.424242	0.575758	0.440678	0.559322
100	641774310	100105	0.419608	0.580392	0.428571	0.571429
100	641774310	100106	0.441176	0.558824	0.458015	0.541985
100	641774310	100107	0.428	0.572	0.468	0.532
100	641774310	100108	0.414343	0.585657	0.526104	0.473896
100	641774310	100109	0.416342	0.583658	0.485597	0.514403
100	641774310	100110	0.383966	0.616034	0.452471	0.547529
100	641774310	100111	0.407692	0.592308	0.458333	0.541667
100	641774310	100112	0.390625	0.609375	0.42623	0.57377
100	641774310	100113	0.348178	0.651822	0.450593	0.549407
100	641774310	100114	0.36255	0.63745	0.437751	0.562249
100	641774310	100115	0.378261	0.621739	0.477778	0.522222
100	641774310	100116	0.393939	0.606061	0.525424	0.474576
100	641774310	100117	0.320833	0.679167	0.542308	0.457692
100	641774310	100118	0.296875	0.703125	0.54918	0.45082
100	641774310	100119	0.237885	0.762115	0.556777	0.443223
100	641774310	100120	0.217899	0.782101	0.576132	0.423868
100	641774310	100121	0.196507	0.803493	0.608856	0.391144
100	641774310	100122	0.188755	0.811245	0.609562	0.390438
100	641774310	100123	0.159836	0.840164	0.648438	0.351562
100	641774310	100124	0.128405	0.871595	0.687243	0.312757
100	641774310	100125	0.130081	0.869919	0.661417	0.338583
100	641774310	100126	0.111969	0.888031	0.651452	0.348548
100	641774310	100127	0.112554	0.887446	0.665428	0.334572
100	641774310	100128	0.144681	0.855319	0.633962	0.366038
100	641774310	100129	0.15415	0.84585	0.582996	0.417004
100	641774310	100130	0.156379	0.843621	0.59144	0.40856
100	641774310	100131	0.12	0.88	0.588	0.412
100	641774310	100132	0.101961	0.898039	0.563265	0.436735
100	641774310	100133	0.09375	0.90625	0.545082	0.454918
100	641774310	100134	0.097166	0.902834	0.56917	0.43083
100	641774310	100135	0.0852713	0.914729	0.590909	0.409091
100	641774310	100136	0.127572	0.872428	0.638132	0.361868
100	641774310	100137	0.0995851	0.900415	0.625483	0.374517
100	641774310	100138	0.09375	0.90625	0.630435	0.369565
100	641774310	100139	0.0982906	0.901709	0.646617	0.353383
100	641774310	100140	0.0878661	0.912134	0.689655	0.310345
100	641774310	100141	0.0769231	0.923077	0.657895	0.342105
100	641774310	100142	0.0742188	0.925781	0.680328	0.319672
100	641774310	100143	0.0593607	0.940639	0.676157	0.323843
100	641774310	100144	0.0627451	0.937255	0.689796	0.310204
100	641774310	100145	0.0513834	0.948617	0.757085	0.242915
100	641774310	100146	0.0447761	0.955224	0.762931	0.237069
100	641774310	100147	0.0409836	0.959016	0.742188	0.257812
100	641774310	100148	0.0395257	0.960474	0.680162	0.319838
100	641774310	100149	0.0358566	0.964143	0.722892	0.277108
100	641774310	100150	0.0539419	0.946058	0.745174	0.254826
100	641774310	100151	0.044898	0.955102	0.72549	0.27451
100	641774310	100152	0.0571429	0.942857	0.666667	0.333333
100	641774310	100153	0.0393701	0.96063	0.682927	0.317073
100	641774310	100154	0.0297398	0.97026	0.688312	0.311688
100	641774310	100155	0.0210526	0.978947	0.660465	0.339535
100	641774310	100156	0.0171674	0.982833	0.707865	0.292135
100	641774310	100157	0.0121951	0.987805	0.708661	0.291339
100	641774310	100158	0.0111524	0.988848	0.701299	0.298701
100	641774310	100159	0.0204918	0.979508	0.71875	0.28125
100	641774310	100160	0.00401606	0.995984	0.729084	0.270916
100	641774310	100161	0.0	1.0	0.696296	0.303704
100	641774310	100162	0.0	1.0	0.705179	0.294821
100	641774310	100163	0.0	1.0	0.73384	0.26616
100	641774310	100164	0.0	1.0	0.717213	0.282787
100	641774310	100165	0.0	1.0	0.703422	0.296578
